reportable_comp,subsection,state,formation_yr,assets,liabilities,expenses,revenue,state_median_income,ntee_letter,total_ex_comp_per_company,percent_of_total_ex_comp,voting_memb_ct,voting_indepmemb_ct,employee_tot_ct,volunteer_tot_ct,salaries_expense_tot_curyr,label
501892.0,501(c)(3),MO,1955,144181758,55286111.0,175133368.0,184965544.0,53578,E,2994171,0.16762302487065706,15,12,1449,127,75322377,3
75312.0,501(c)(6),ND,1905,1689979,346938.0,574540.0,590392.0,61843,S,75312,1.0,9,9,4,15,295855,9
254503.0,501(c)(12),ND,1937,260716944,150592755.0,137074558.0,138404996.0,61843,W,496460,0.5126354590500746,9,9,112,0,11454533,3
241957.0,501(c)(12),ND,1937,260716944,150592755.0,137074558.0,138404996.0,61843,W,496460,0.4873645409499255,9,9,112,0,11454533,3
68345.0,501(c)(14),ND,1939,11788068,10825700.0,375387.0,442630.0,61843,W,68345,1.0,5,0,3,6,140597,7
119892.0,501(c)(12),ND,1941,78403302,52594185.0,26326158.0,26329052.0,61843,W,375431,0.3193449661855308,9,9,39,0,3830585,3
255539.0,501(c)(12),ND,1941,78403302,52594185.0,26326158.0,26329052.0,61843,W,375431,0.6806550338144692,9,9,39,0,3830585,3
271262.0,501(c)(12),ND,1944,663881661,428392765.0,309894127.0,310574546.0,61843,W,646286,0.4197243944631324,9,9,116,0,13525070,3
176134.0,501(c)(12),ND,1944,663881661,428392765.0,309894127.0,310574546.0,61843,W,646286,0.2725325939290036,9,9,116,0,13525070,3
198890.0,501(c)(12),ND,1944,663881661,428392765.0,309894127.0,310574546.0,61843,W,646286,0.307743011607864,9,9,116,0,13525070,3
213605.0,501(c)(12),ND,1948,86256405,47484151.0,26804270.0,26804270.0,61843,W,420685,0.5077552087666544,7,7,42,0,4329604,3
113378.0,501(c)(12),ND,1948,86256405,47484151.0,26804270.0,26804270.0,61843,W,420685,0.2695080642285796,7,7,42,0,4329604,3
